Period,Altman Z-Score,Springate Score,Ohlson O-score,Zmijewski Score
90,24.9553312,22.46398458,-4.883128334,-7.887283654
91,30.51260001,25.12508028,-4.798490259,-7.848141387
92,28.38188144,24.97855335,-4.892488909,-8.016043502
93,77.89573938,141.0095115,-4.853014937,-7.99590004
94,23.05057402,23.79235716,-4.822248417,-7.915146937
95,24.05840838,10.81325181,-4.855938608,-7.989722074
96,32.4883815,23.97046739,-4.886046001,-8.048329826
97,80.19147399,76.21139915,-4.841924492,-7.923905862
98,33.03253215,16.11085881,-4.974950522,-8.011779577
99,24.54176246,25.66944339,-4.820754474,-8.001045962
100,15.69483314,36.2731133,-4.694031604,-7.853758936
101,15.17965934,16.5334713,-4.723439714,-7.946468589
102,24.87512185,73.58932247,-4.695613863,-7.9054102
103,45.6527188,26.75413644,-4.894697889,-8.048426475
104,32.59379267,29.77557392,-4.913662134,-7.954815823
105,42.73008514,51.1500341,-4.900807724,-7.970099873
106,13.45604869,23.56198095,-4.656267141,-7.87417499
107,19.44874454,62.88538674,-4.605555093,-7.828874394
108,32.2372223,64.57000652,-4.800931761,-8.000787852
109,29.9084635,45.09939168,-4.814675187,-8.019926348
110,37.0590558,57.39685921,-4.752747933,-7.895684911
111,18.90019504,31.11592625,-4.644149759,-7.793543621
112,25.15968234,25.06838369,-4.837273517,-7.932198175
113,132.672633,40.79756547,-4.915031232,-7.900527647
114,68.66905101,26.80985801,-4.903170634,-7.928744618
115,49.58898262,22.7665274,-4.900069996,-8.039370618
116,51.86917822,18.19767898,-4.836906057,-7.943443124
117,21.44454034,35.18229351,-4.796513918,-7.953630392
118,37.77422419,88.79940776,-4.788159225,-7.921683529
119,30.23192217,34.16696221,-4.858077771,-7.930356011
120,19.5554135,37.34235239,-4.458945232,-7.53864163
121,18.69038571,34.03925379,-4.687443007,-7.856039815
122,24.45439192,24.75585273,-4.758167012,-7.825288449
123,39.98006723,27.63949635,-4.88689236,-7.956540294
124,35.47888448,25.6982239,-5.167809564,-8.258655655
125,43.04759844,77.5733142,-4.931099806,-8.080247095
126,29.38594268,52.9082676,-4.781481744,-7.992421822
127,30.97943711,54.65361479,-4.814318477,-8.064610996
128,35.47729374,20.43331638,-4.990356533,-8.0455467
129,17.74953817,15.97503921,-4.810211118,-7.976862826
130,39.10466888,35.05148699,-4.962554914,-7.98353346
131,26.92418994,19.37650532,-4.958507048,-8.056483822
132,25.47605317,14.6247508,-4.783081927,-7.879958777
133,16.84930677,33.92448174,-4.643785355,-7.814426473
134,32.8544573,47.85990958,-4.851685978,-8.023267644
135,29.37549472,46.61394062,-4.821143444,-7.9785847
136,38.95478716,54.48743389,-4.849032178,-7.926670406
137,17.91563224,31.10134996,-4.764617377,-7.874593219
138,20.1314952,28.74790432,-4.895677077,-7.950446184
139,55.60893671,36.16787312,-4.901541816,-7.984098088
140,26.42717317,22.67228353,-4.854233294,-7.878173338
141,32.56951536,23.31892019,-4.811496325,-7.96157374
142,47.24163953,15.11821708,-5.025917533,-8.079578458
143,12.4682693,33.98741095,-4.558650236,-7.695629078
144,46.12022389,68.96295195,-4.856062087,-7.95667484
145,36.14074079,31.19305504,-4.904663769,-7.954179407
146,27.64569362,45.48921126,-4.707789521,-7.901635226
147,29.27873772,31.1157009,-4.858292702,-8.062611253
148,24.00858568,27.04434954,-4.845612128,-7.955660187
149,29.99358544,30.71066054,-4.888758516,-7.974298646
150,40.80483313,25.98780018,-4.988619108,-7.98600069
151,40.96754553,80.15171222,-4.87825585,-7.927568206
152,31.55858677,41.33843757,-4.859702865,-8.028123278
153,30.23574744,38.52602763,-4.782962098,-7.917764345
154,34.53279923,20.05337964,-4.90303857,-8.023426649
155,25.88871307,19.70716922,-4.87079956,-7.996093992
156,37.52622918,32.22777859,-4.929716409,-8.026647095
157,24.22224915,17.67274869,-4.942502795,-8.014006657
158,26.90707708,16.36471865,-4.784590058,-7.940816624
159,12.78960302,23.71779529,-4.640145432,-7.806364302
160,40.37538945,39.97592868,-4.920854982,-8.106611332
161,35.74703374,42.73939544,-4.885094611,-8.073471813
162,31.60903748,37.72248843,-4.960743911,-7.962886278
163,17.99217363,29.60937343,-4.786252057,-7.791798007
164,26.21572468,32.77019595,-4.870597999,-7.977507127
165,88.32345414,27.77399972,-4.992980843,-8.012449501
166,21.82068868,20.4812885,-4.919639363,-7.902181578
167,27.79734771,17.40669914,-4.769831247,-7.856575545
168,49.7914954,12.8645732,-5.040577059,-8.04651465
169,16.82388678,24.1845142,-4.729291045,-7.902734393
170,50.71251549,50.08448071,-4.864087682,-7.985088238
171,42.30543019,33.43419951,-4.936877077,-7.981689183
172,42.29767292,66.1300574,-4.706460082,-7.843212649
173,33.16990263,34.18781486,-4.841967279,-8.038939593
174,42.30589253,21.81114432,-4.915426342,-8.05914596
175,22.5613254,30.77418228,-4.774201309,-7.901342654
176,39.19708789,23.93806687,-4.989699559,-7.951889841
177,101.1534251,39.27383989,-4.920241795,-7.960055168
178,42.99061005,34.01467801,-4.929563911,-8.14581879
179,29.76702247,29.64035191,-4.795512443,-7.960831216
180,46.55257904,17.99633536,-4.933537918,-8.037150759
181,19.68791229,23.8148404,-4.785436495,-7.925370437
182,43.5418698,27.63508901,-4.929645129,-8.032608621
183,22.49668629,18.71920727,-4.918778,-8.010145164
184,22.37196826,14.41494175,-4.824363879,-7.972735854
185,20.63161881,52.78725792,-4.666755951,-7.754944312
186,26.59010198,90.86214137,-4.712637637,-7.870650737
187,25.38669626,103.7886419,-4.602026226,-7.760003857
188,30.95864667,68.32184035,-4.759001068,-7.933570197
189,25.71921391,39.77987114,-4.735260802,-7.880839738
190,80.82326405,49.37732113,-4.834021301,-7.910068592
191,25.15654572,51.81012621,-4.663064208,-7.825995036
192,33.79272546,95.39299045,-4.711983142,-7.783178822
193,44.23170651,60.86437292,-4.789411442,-7.925839334
194,50.75413263,56.46830692,-4.793142094,-7.810436319
195,40.94148534,115.7843662,-4.723106776,-7.951376881
196,31.19232937,33.07507364,-4.874525487,-7.929683113
197,26.98626364,40.82258865,-4.787384556,-7.972856226
198,24.27708466,40.27571367,-4.772779894,-7.894980034
199,60.50008884,66.98221078,-4.83284373,-7.895837501
200,38.90715358,53.00288462,-4.813689405,-7.944703826
201,29.16493732,32.39836189,-4.821516012,-7.95521449
202,21.12893383,30.27594623,-4.713792098,-7.85066689
203,35.93004122,35.6678711,-4.7580747,-7.975603033
204,42.73272489,31.08918561,-4.962888601,-8.157051144
205,45.1370473,33.18385017,-4.793544848,-7.910312148
206,31.46595265,48.59828734,-4.804003538,-7.82738194
207,20.9026626,28.28508967,-4.741355735,-7.852837182
208,32.16629122,51.83433191,-4.761883506,-7.932370058
209,19.76506558,49.24391219,-4.572261455,-7.747980275
210,24.37992103,28.76158044,-4.799374634,-7.899617669
211,48.75258876,33.85305499,-4.863884856,-8.009877929
212,78.24942456,23.5482825,-4.913343218,-8.035998126
213,16.33055192,18.6550745,-4.77825348,-7.917573162
214,40.35762831,28.52399982,-4.911720555,-7.996936877
215,103.7731903,63.68402163,-4.873830087,-7.973142679
216,36.31167661,27.13518361,-4.814629204,-8.004477965
217,177.719859,37.44606398,-4.852161717,-7.992745713
218,43.9641869,19.4837136,-4.903962663,-8.069370543
219,18.20548537,13.95517438,-4.854078725,-8.015828665
220,13.27342002,25.15561328,-4.639425019,-7.859863877
221,18.28171592,14.8700883,-4.792627972,-7.976742517
222,6.955437445,8.84160307,-4.530909199,-7.733912952
223,20.89000356,29.95215947,-4.735742738,-7.924714094
224,34.59986916,18.37596626,-4.911208319,-7.95448544
225,23.20442058,39.55960649,-4.728579531,-7.857530676
226,19.24938064,23.6441194,-4.813595925,-7.979006236
227,25.66652253,14.37090476,-4.958408964,-8.039677321
228,48.41096119,27.62030736,-4.92447958,-8.014746546
229,16.48051486,39.30895174,-4.617909812,-7.849818932
230,26.98247774,21.20110375,-4.940788825,-7.999962518
231,16.20783166,45.18021797,-4.511225099,-7.726734469
232,16.66082781,51.58569345,-4.525256084,-7.721061299
233,19.07793152,86.73832704,-4.352531938,-7.422212646
234,30.19496832,76.01369754,-4.716803656,-7.903271004
235,12.90228273,37.24890151,-4.380335583,-7.600151464
236,10.59492145,25.45888153,-4.369800494,-7.452806635
237,20.48809653,67.37620837,-4.523017995,-7.719590014
238,25.47659814,64.89614416,-4.720904537,-7.874074582
239,19.95116432,34.21461203,-4.668607694,-7.811831768
240,75.6723676,51.80548186,-4.785267172,-7.780844011
241,18.27216865,34.68685441,-4.615045033,-7.767418526
242,15.4948427,48.16945266,-4.493816734,-7.706542829
243,31.84671649,104.3226899,-4.651572836,-7.732873415
244,40.61047828,64.18047762,-4.790151142,-7.918217763
245,40.10231371,38.36196957,-4.850948199,-7.948175471
246,39.62577795,148.1319613,-4.620941021,-7.828470113
247,27.19953056,34.51352893,-4.883262037,-7.922338312
248,29.31069135,40.79419591,-4.867480342,-8.00252225
249,25.78044658,38.35735078,-4.795127008,-7.918760424
250,32.91369057,66.24514066,-4.776643248,-7.897174697
251,51.17381338,172.532604,-4.772380378,-7.826789929
252,25.68019565,46.47612656,-4.6627344,-7.772033114
253,27.82982226,32.29551718,-4.813215818,-7.918559757
254,23.71287753,24.20169853,-4.752455779,-7.895057311
255,19.3592061,31.56371354,-4.721281552,-7.836367371
256,42.32604835,36.14877852,-4.945032065,-8.074711586
257,29.88236223,32.12972837,-4.74699521,-7.791329856
258,23.49310846,69.75530715,-4.60775337,-7.634197792
259,24.45482287,25.85179066,-4.777411105,-7.922749085
260,27.72738129,46.50590092,-4.756007943,-7.89653888
261,21.80422982,49.33603995,-4.620364298,-7.8745703
262,35.92074691,54.49422779,-4.806873358,-7.904068256
263,30.31834224,31.03479043,-4.82038713,-7.91192538
264,71.36868768,38.62164686,-4.865075778,-7.996010106
265,14.18989522,23.11370093,-4.622717893,-7.872115484
266,52.83156773,23.87320806,-5.06781268,-8.00426954
267,15.82690882,17.49002531,-4.71190629,-7.87168813
268,49.51567562,35.3200977,-4.918893897,-7.976596089
269,50.182139,59.00611647,-4.743537047,-7.861444633
270,29.93026515,36.20902671,-4.773405336,-7.868573168
271,100.9425196,36.76381498,-4.796471987,-7.808498872
272,47.0747161,22.5327669,-4.909297922,-8.092426245
273,17.07245409,13.43063445,-4.840144211,-7.983808691
274,14.17713641,30.40655336,-4.609603484,-7.771033909
275,19.28175747,15.95883973,-4.791014343,-7.961079496
276,9.671805848,7.929048624,-4.740334582,-7.852616484
277,17.1291111,29.00617143,-4.69496896,-7.887283752
278,26.9714578,19.44068971,-4.872095717,-7.881144732
279,25.95108559,52.18521502,-4.651784832,-7.773973391
280,18.44031726,28.09202164,-4.780770238,-7.935432958
281,23.48238333,15.5278915,-4.918392148,-7.979987271
282,60.87564408,23.70008247,-4.892590701,-8.04115063
283,12.82594266,30.15967433,-4.538037316,-7.77781569
284,21.31271283,22.90444497,-4.884142232,-7.96160353
285,9.62516231,19.74471271,-4.628277684,-7.882843159
286,27.92736813,69.15986987,-4.740403013,-7.912447443
287,17.46164991,35.71384655,-4.716290504,-7.897583192
288,79.82175668,62.8693904,-4.811092668,-7.872577101
289,20.76260657,25.02331992,-4.699530816,-7.878615786
290,13.29903288,41.02121618,-4.493860092,-7.776362475
291,25.12316922,67.89580248,-4.673067428,-7.825779486
292,45.52120735,84.0770713,-4.801948068,-7.909790304
293,25.09215112,50.99988133,-4.714628409,-7.819397025
294,59.76049697,257.6134397,-4.643983349,-7.897681609
295,34.9336333,29.2579811,-4.924647233,-7.959825016
296,30.2445551,38.73388083,-4.835244355,-7.976076805
297,26.41197499,38.60849216,-4.837038096,-7.911228177
298,33.86554728,60.21276201,-4.809825277,-7.936718843
299,39.9720862,129.9129678,-4.681486294,-7.816163644
300,33.37739805,39.9787647,-4.756401188,-7.893828547
301,31.86903852,33.31583165,-4.817963929,-7.876100581
302,26.00415336,30.73221881,-4.57332373,-7.663047838
303,25.67282536,31.26760929,-4.74501593,-7.882132924
304,76.55220345,44.23561876,-4.946674453,-8.152929198
305,143.0514533,37.77186979,-4.963073618,-7.990018624
306,12.05028599,24.35620839,-4.422278388,-7.53508635
307,29.02003917,25.00890014,-4.780713306,-7.902832238
308,37.3636073,27.55823073,-4.830718451,-8.002148156
309,22.88141579,45.48936741,-4.665677304,-7.872436208
310,34.83541008,47.14630878,-4.765022661,-7.926817074
311,33.41349166,37.53655651,-4.845813661,-7.916032355
312,75.07547128,53.77459901,-4.83141406,-7.881861127
313,22.55889104,27.23801058,-4.909821934,-8.036018692
314,42.76636532,33.19796347,-4.927237856,-7.937900258
315,15.10777268,23.54922076,-4.682767893,-7.885784232
316,39.18820917,52.10151583,-4.856870718,-7.923144719
317,73.24485914,68.84019175,-4.771870288,-7.90920138
318,43.74613736,31.69097195,-4.771524048,-7.913257101
319,64.73443674,24.82910099,-4.869377932,-7.964543083
320,42.13808417,23.63807613,-4.915244357,-8.08100824
321,17.92285598,13.85795248,-4.874843245,-7.975641371
322,16.37801598,46.90518435,-4.542691586,-7.715066529
323,21.0639983,16.0146229,-4.802310738,-7.943630102
324,20.11219289,9.996633861,-4.946503945,-8.09241755
325,17.9201539,25.88959245,-4.768506931,-7.942514747
326,52.04755525,20.28343885,-4.899862667,-7.882141108
327,28.59032183,75.21715024,-4.615382711,-7.815866208
328,20.81649924,30.4027339,-4.789942597,-7.91752776
329,23.08550982,18.05956607,-4.858617162,-7.905900584
330,48.30136356,20.96151331,-4.962755396,-8.051384806
331,28.89329421,39.55005494,-4.947345523,-8.113848024
332,18.39877774,26.09896502,-4.793064492,-7.884572126
333,33.32532125,66.23520305,-4.782832894,-7.9493512
334,18.33167161,32.06502224,-4.739110266,-7.89057863
335,57.89627559,49.96935067,-4.864803188,-7.918006637
336,18.49343758,22.65991581,-4.693551291,-7.8240473
337,13.21115804,37.50277155,-4.481319222,-7.783720545
338,33.06563385,80.39825048,-4.641621152,-7.833765521
339,43.13797539,77.99506795,-4.801418446,-7.905948936
340,22.67773437,42.57675906,-4.714232861,-7.835857515
341,60.06655947,257.6125513,-4.653512443,-7.892385851
342,34.20665167,34.87246721,-4.907379847,-7.900101886
343,26.63512899,38.25019951,-4.853823945,-7.957443487
344,26.16257298,41.45821036,-4.806632689,-7.911763413
345,32.89579629,54.78173568,-4.825967135,-7.944475086
346,38.16819907,122.5786166,-4.699329303,-7.829401731
347,30.9478866,33.80488155,-4.763662673,-7.90422292
348,33.72577155,30.47477889,-4.832156562,-7.877020778
349,29.62222198,27.41318518,-4.748705264,-7.927511263
350,23.87734748,29.56435675,-4.739454745,-7.87628638
351,108.6932294,51.47058307,-4.962642416,-8.15732723
352,116.7158132,32.09274612,-4.912330283,-7.941332832
353,21.01009773,32.38720859,-4.681785998,-7.909035265
354,29.23496697,22.95918754,-4.823523272,-7.920732155
355,40.0878562,25.77641189,-4.832800338,-7.957507094
356,22.4020111,42.12271632,-4.690705512,-7.8762101
357,38.33729912,45.83486071,-4.850287067,-7.932964115
358,30.36812962,36.72273194,-4.73517385,-7.744453493
359,100.7683824,59.49400534,-4.847397481,-7.885492062
360,36.43169779,26.3334698,-4.868244575,-8.024852582
361,65.97645027,35.48039452,-4.932297689,-7.934730251
362,20.27628171,22.37077437,-4.756219101,-7.95855572
363,37.08115361,45.65363182,-4.830270337,-7.909755969
364,70.18988597,73.26555215,-4.805445725,-7.927909453
365,41.6238765,30.42838544,-4.797548356,-7.854250554
366,105.5710443,29.07971922,-4.905034102,-7.921625354
367,50.32621037,23.57105118,-4.903815558,-8.05341887
368,18.53594883,16.84652606,-4.924266892,-7.960301243
369,17.27243756,43.18804786,-4.477577433,-7.499528405
370,21.34417514,14.48164053,-4.822375053,-7.964785159
371,20.47079659,10.16303197,-5.042281104,-8.126849209
372,17.02671929,27.56767009,-4.731322353,-7.92619404
373,48.97793051,19.46949383,-4.879742292,-7.822939408
374,27.7358583,75.00537437,-4.594399818,-7.778127151
375,19.5884747,29.5350013,-4.762016386,-7.915440573
376,16.68547989,17.85945055,-4.710065593,-7.757607204
377,90.23577658,23.56249936,-4.997257456,-8.036920921
378,42.06675062,34.70823275,-5.045747987,-8.165042511
379,16.81986451,20.84956717,-4.790769631,-7.894915413
380,inf,inf,-4.244792165,-7.532800837
381,37.96369036,62.89371617,-4.83017647,-8.020728551
382,21.32805067,29.06779507,-4.76460698,-7.915825011
383,72.82835424,58.81601209,-4.947372754,-7.912974965
384,17.54139757,19.48737501,-4.724392475,-7.867261613
385,11.98717214,32.13996715,-4.476913699,-7.771621709
386,33.98125489,67.8090499,-4.676948707,-7.88535239
387,44.08052015,70.54609153,-4.772453089,-7.835516707
388,20.73912403,34.41310386,-4.754405812,-7.866308643
389,54.51878421,206.5009876,-4.680252098,-7.905205722
390,40.29265225,29.98508249,-4.927557428,-7.88789082
391,26.53922291,33.67086002,-4.845163801,-7.975181317
392,24.28363227,44.86942754,-4.806114948,-7.903029462
393,34.3823856,45.99297677,-4.850052809,-7.946804286
394,32.70816358,104.3869449,-4.670515383,-7.806637306
395,28.99016319,32.18215278,-4.764367968,-7.874717969
396,36.5168134,26.89294212,-4.878967939,-7.846043206
397,32.25359974,31.2233097,-4.784044006,-7.906460545
398,25.27034588,26.62011062,-4.795958433,-7.945073419
399,115.0798132,49.12600717,-4.958963585,-8.107592133
400,149.2829017,31.36443869,-4.936808627,-7.914058003
401,20.60814325,40.38268842,-4.641296008,-7.763082197
402,31.66906375,21.81657391,-4.823789996,-7.8936492
403,30.63663554,22.44521038,-4.814566694,-7.984005692
404,20.53577928,33.76593743,-4.611520362,-7.756430964
405,38.48488698,43.76810085,-4.85598101,-7.971043725
406,30.60789353,26.6795651,-4.84984147,-7.941458425
407,132.0355857,59.78556443,-4.939123909,-8.008084795
408,36.52574175,27.74675674,-4.845273052,-7.955852113
409,53.67100317,31.90269225,-4.921846458,-7.928822116
410,20.24628201,27.74629773,-4.784205226,-7.946985184
411,38.3911218,52.03964247,-4.838231773,-7.866774267
412,49.75383078,77.92041281,-4.744220336,-7.770815115
413,74.27947406,32.22424714,-4.874174275,-7.851804707
414,93.28759244,32.68794437,-4.850140083,-7.872638718
415,37.4512981,25.97655085,-4.930376178,-8.085347614
416,19.89855259,17.58495242,-4.904070986,-7.972196255
417,14.01436089,42.1245031,-4.300416436,-7.391432962
418,16.58578289,12.21664392,-4.832919128,-7.975643677
419,19.38207743,11.19977753,-5.10723915,-8.113144215
420,17.39563332,26.91929082,-4.732829052,-7.934287898
421,59.95013161,17.41081698,-4.93312051,-7.875450346
422,86.2010889,258.7050312,-4.776013125,-7.914816506
423,18.70035067,24.8552517,-4.78134149,-7.938627021
424,15.9342225,16.60426926,-4.806576098,-7.876954298
425,69.3157144,19.47152086,-5.067101739,-8.04888399
426,48.57282733,42.87703512,-4.952753407,-8.08685476
427,14.81305604,23.39846232,-4.738690347,-7.824078343
428,5.6814698,36.40653125,-0.0611358,-3.09858714
429,37.53341495,66.68949881,-4.820546803,-7.99732074
430,19.14627372,29.46777589,-4.731723831,-7.881773334
431,68.0687672,78.82867,-4.891532772,-7.891326783
432,17.06048637,24.44021951,-4.629440889,-7.737955164
433,11.95539301,32.01677722,-4.431980695,-7.690095923
434,55.83947649,188.5082398,-4.720390533,-7.85894205
435,47.0638947,64.5106479,-4.721089992,-7.705934691
436,19.586231,30.3507081,-4.607324343,-7.647392149
437,61.7311246,188.2652018,-4.730693042,-7.941212327
438,101.2959539,55.40522097,-4.989927857,-7.899950527
439,28.0088243,33.3858047,-4.873773255,-7.993898481
440,35.70114587,46.41480721,-4.840115477,-7.902302017
441,44.97166486,45.44321686,-4.796508945,-7.911252388
442,33.50248932,115.5229695,-4.658809991,-7.813998962
443,26.88883193,35.17470137,-4.719674056,-7.784864511
444,36.11716609,27.40384809,-4.908494657,-7.885453662
445,27.5416025,45.07661339,-4.557792748,-7.527006423
446,18.99658914,20.98365075,-4.743087822,-7.888234882
447,52.30804559,29.7760592,-5.022966721,-8.0560202
448,93.63409035,27.08486822,-4.989951912,-7.885582623
449,56.5923993,341.5889578,-4.223331139,-7.095823669
450,36.5777734,23.09790188,-4.824476281,-7.88482585
451,22.21921183,23.00393636,-4.732817419,-7.864716812
452,20.47753972,35.90434703,-4.658039879,-7.848861465
453,29.27275834,47.54728328,-4.721221117,-7.845167007
454,32.54658536,32.75671822,-4.853460601,-7.913071026
455,130.672684,59.76070552,-4.890046229,-7.923198455
456,44.29919688,36.5099445,-4.660705666,-7.604694329
457,82.99031264,29.57548173,-4.982621659,-7.993547195
458,18.61360753,24.81114318,-4.811503056,-7.937232357
459,33.55442126,41.15161397,-4.867668157,-7.905151626
460,52.02913131,68.30854289,-4.752323884,-7.857223523
461,75.70667892,27.81436755,-4.941812007,-7.921904431
462,117.6322226,35.40077716,-4.80180104,-7.77277498
463,33.39779747,27.14840857,-4.907905772,-8.055146733
464,19.29730537,19.52110511,-4.837254708,-7.934516822
465,16.80768276,38.55106368,-4.526930329,-7.694621307
466,25.06882495,13.53321609,-4.878385932,-8.025032479
467,18.28071966,9.788632939,-4.937787606,-8.076996009
468,19.42666284,25.93852127,-4.778708619,-7.943001203
469,44.89467936,18.83913824,-4.947579311,-7.865306927
470,97.48176276,208.3362693,-4.990788463,-7.871839662
471,20.01584392,24.10662783,-4.783839357,-7.929287972
472,16.68757498,17.02154143,-4.757262031,-7.743637136
473,105.0928073,21.70697665,-5.070919826,-8.034981748
474,42.70398193,42.88053653,-4.868834497,-7.990387509
475,11.71857299,14.64330556,-4.612439531,-7.860038665
476,15.38977374,27.11081884,-4.667274163,-7.78773555
477,16.99841592,41.66848587,-4.769248035,-7.815677444
478,38.53872714,62.20386104,-4.847862009,-8.011469742
479,21.69011628,30.7873723,-4.766322268,-7.91257284
480,73.33510831,97.34296624,-4.862874236,-7.93100124
481,17.80123422,16.48559309,-4.740065952,-7.897786111
482,12.71804381,26.03900302,-4.578187755,-7.843407237
483,106.3288734,414.6968672,-4.778437503,-7.915161076
484,73.34284114,88.70434805,-4.832569142,-7.93126436
485,13.63339896,21.91159254,-4.57838144,-7.700272056
486,86.12678248,230.5446693,-4.769415153,-7.923807299
487,100.0141525,40.39630891,-5.133334401,-8.011121051
488,111.5429138,57.91093169,-4.921494286,-8.064326263
489,64.84856541,145.454187,-4.884220182,-7.922243269
490,59.45124542,56.16929111,-4.874225591,-7.997276981
491,29.33581949,94.82036999,-4.607714505,-7.756090465
492,23.72500766,32.86172612,-4.787167412,-7.933115905
493,42.25519763,26.1112145,-4.912147002,-7.893626907
494,32.88600547,50.94284575,-4.72661584,-7.974812148
495,18.7674197,15.12246064,-4.770662671,-7.905100171
496,49.54462077,34.44602278,-4.865574431,-8.0193809
497,203.9429157,27.8717542,-5.038120976,-7.977642659
498,16.69933935,30.62764427,-4.812567719,-7.941003263
